movie,release_date,production_budget,opening_weekend_us,domestic_box_office,worldwide_box_office,release_year,production_budget_m,opening_weekend_us_m,domestic_box_office_m,worldwide_box_office_m,worldwide_box_office_b,return_multiple,release_era
Iron Man,2008-04-30,186000000,102118668,318604126,584877827,2008,186.0,102.118668,318.604126,584.877827,0.584877827,3.1445044462365592,"Foundation
2008-2012"
The Incredible Hulk,2008-06-13,137500000,55414050,134806913,265573859,2008,137.5,55.41405,134.806913,265.573859,0.265573859,1.9314462472727272,"Foundation
2008-2012"
Iron Man 2,2010-04-29,170000000,128122480,312433331,621156389,2010,170.0,128.12248,312.433331,621.156389,0.621156389,3.653861111764706,"Foundation
2008-2012"
Thor,2011-04-29,150000000,65723338,181030624,449326618,2011,150.0,65.723338,181.030624,449.326618,0.449326618,2.995510786666667,"Foundation
2008-2012"
Captain America: The First Avenger,2011-07-22,140000000,65058524,176654505,370569776,2011,140.0,65.058524,176.654505,370.569776,0.370569776,2.6469269714285715,"Foundation
2008-2012"
The Avengers,2012-04-25,225000000,207438708,623357910,1515100211,2012,225.0,207.438708,623.35791,1515.100211,1.515100211,6.733778715555555,"Foundation
2008-2012"
Iron Man 3,2013-04-24,200000000,174144585,408992272,1214630956,2013,200.0,174.144585,408.992272,1214.630956,1.214630956,6.07315478,"Expansion
2013-2017"
Thor: The Dark World,2013-10-30,150000000,85737841,206362140,644602516,2013,150.0,85.737841,206.36214,644.602516,0.644602516,4.297350106666666,"Expansion
2013-2017"
Captain America: The Winter Soldier,2014-03-28,170000000,95023721,259746958,714401889,2014,170.0,95.023721,259.746958,714.401889,0.714401889,4.202364052941176,"Expansion
2013-2017"
Guardians of the Galaxy,2014-07-31,170000000,94320883,333714112,770882395,2014,170.0,94.320883,333.714112,770.882395,0.770882395,4.534602323529412,"Expansion
2013-2017"
Avengers: Age of Ultron,2015-04-22,365000000,191271109,459005868,1395316979,2015,365.0,191.271109,459.005868,1395.316979,1.395316979,3.8227862438356164,"Expansion
2013-2017"
